Sample	Glyco_Genes_Sum	Corr	type
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx36	0.016392048	0.214285714285714	HAEMATOPOIETIC
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx26	0.016281621	0.452380952380952	HAEMATOPOIETIC
OV56_OVARY_TenPx35	0.012406639	0.738095238095238	OVARY
OV90_OVARY_TenPx32	0.012191484	0.333333333333333	OVARY
OVCAR4_OVARY_TenPx11	0.013207442	0.80952380952381	OVARY
OVCAR8_OVARY_TenPx24	0.015851116	0.523809523809524	OVARY
OVSAHO_OVARY_TenPx40	0.006418259	0.833333333333333	OVARY
PANC0203_PANCREAS_TenPx42	0.00599404	0.690476190476191	PANCREAS
PANC0403_PANCREAS_TenPx40	0.007958457	0.738095238095238	PANCREAS
PANC1_PANCREAS_TenPx37	0.00747507	0.547619047619048	PANCREAS
PATU8988T_PANCREAS_TenPx03	0.013207956	0.476190476190476	PANCREAS
PC14_LUNG_TenPx05	0.011945089	0.5	LUNG
PL45_PANCREAS_TenPx26	0.009730489	0.142857142857143	PANCREAS
QGP1_PANCREAS_TenPx11	0.015411381	0.714285714285714	PANCREAS
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx42	0.021640261	0.357142857142857	HAEMATOPOIETIC
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx34	0.018621649	0.238095238095238	HAEMATOPOIETIC
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx30	0.014175749	0.5	HAEMATOPOIETIC
RERFLCMS_LUNG_TenPx01	0.013333944	0.476190476190476	LUNG
RERFLCSQ1_LUNG_TenPx16	0.009484853	0.690476190476191	LUNG
RKO_LARGE_INTESTINE_TenPx04	0.014882971	0.5	LARGE_INTESTINE
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx40	0.021330509	0.571428571428572	HAEMATOPOIETIC
RMUGS_OVARY_TenPx31	0.011934402	0.476190476190476	OVARY
RPMI7951_SKIN_TenPx01	0.02229433	0.642857142857143	SKIN
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx35	0.01496499	0.476190476190476	HAEMATOPOIETIC
RVH421_SKIN_TenPx05	0.020081981	0.547619047619048	SKIN
SBC5_LUNG_TenPx13	0.006355436	0.761904761904762	LUNG
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx25	0.012884405	0.642857142857143	HAEMATOPOIETIC
SH4_SKIN_TenPx01	0.021043723	0.690476190476191	SKIN
SHP77_LUNG_TenPx25	0.011326751	0.19047619047619	LUNG
SKCO1_LARGE_INTESTINE_TenPx26	0.007801113	0.547619047619048	LARGE_INTESTINE
SKLU1_LUNG_TenPx42	0.009876011	0.547619047619048	LUNG
SKMEL2_SKIN_TenPx05	0.018023636	0.761904761904762	SKIN
SKMEL28_SKIN_TenPx06	0.014217266	0.642857142857143	SKIN
SKMEL3_SKIN_TenPx04	0.011717268	0.5	SKIN
SKMEL30_SKIN_TenPx22	0.01462495	0.785714285714286	SKIN
SKMEL5_SKIN_TenPx23	0.012643015	0.428571428571429	SKIN
SNU119_OVARY_TenPx13	0.007062645	0.547619047619048	OVARY
SNU61_LARGE_INTESTINE_TenPx12	0.005732744	0.690476190476191	LARGE_INTESTINE
SNUC1_LARGE_INTESTINE_TenPx19	0.015960917	0.214285714285714	LARGE_INTESTINE
SNUC2A_LARGE_INTESTINE_TenPx17	0.020828535	0.285714285714286	LARGE_INTESTINE
SNUC5_LARGE_INTESTINE_TenPx40	0.007530515	0.80952380952381	LARGE_INTESTINE
SQ1_LUNG_TenPx14	0.008599778	0.785714285714286	LUNG
SU8686_PANCREAS_TenPx12	0.005408054	0.595238095238095	PANCREAS
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx26	0.01512881	0.404761904761905	HAEMATOPOIETIC
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx40	0.016832559	0.476190476190476	HAEMATOPOIETIC
SUIT2_PANCREAS_TenPx30	0.013824643	0.80952380952381	PANCREAS
SW1271_LUNG_TenPx34	0.011382628	0.547619047619048	LUNG
SW1417_LARGE_INTESTINE_TenPx15	0.00848463	0.690476190476191	LARGE_INTESTINE
SW1573_LUNG_TenPx33	0.009437441	0.761904761904762	LUNG
SW1990_PANCREAS_TenPx22	0.013593601	0.333333333333333	PANCREAS
SW403_LARGE_INTESTINE_TenPx07	0.00982062	0.30952380952381	LARGE_INTESTINE
SW48_LARGE_INTESTINE_TenPx07	0.011103973	0.595238095238095	LARGE_INTESTINE
SW480_LARGE_INTESTINE_TenPx10	0.007013922	0.80952380952381	LARGE_INTESTINE
SW620_LARGE_INTESTINE_TenPx03	0.015909976	0.476190476190476	LARGE_INTESTINE
SW837_LARGE_INTESTINE_TenPx35	0.007804551	0.690476190476191	LARGE_INTESTINE
SW948_LARGE_INTESTINE_TenPx11	0.013073774	0.476190476190476	LARGE_INTESTINE
SW948_LARGE_INTESTINE_TenPx20	0.008490489	0.357142857142857	LARGE_INTESTINE
T47D_BREAST_TenPx09	0.01009736	0.785714285714286	BREAST
TCCPAN2_PANCREAS_TenPx09	0.016227302	0.404761904761905	PANCREAS
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx37	0.013361721	0.428571428571429	HAEMATOPOIETIC
